t,ema
328.0042,28.68554
328.5042,29.38528
329.0042,29.4946
329.5042,28.4527
330.0042,27.67489
330.5042,27.63779
331.0043,28.28747
331.5043,28.93138
332.0043,29.36157
332.5043,29.83208
333.0043,29.26526
333.5043,28.57478
334.0043,28.22635
334.5043,28.22849
335.0043,28.52517
335.5043,28.4299
336.0043,28.09858
336.5043,28.43757
337.0043,28.84039
337.5043,28.96275
338.0044,29.0886
338.5044,29.07447
339.0044,29.25404
339.5044,28.96239
340.0044,28.29021
340.5044,27.93183
341.0044,28.21765
341.5044,28.39515
342.0044,28.89248
342.5044,28.97429
343.0044,28.77017
343.5044,28.47704
344.0044,28.81227
344.5044,28.92618
345.0045,29.07601
345.5045,28.79605
346.0045,28.3566
346.5045,28.42481
347.0045,28.6654
347.5045,28.76286
348.0045,28.80449
348.5045,28.60767
349.0045,28.31625
349.5045,28.70657
350.0045,28.88706
350.5045,28.64104
351.0045,28.25523
351.5045,28.74342
352.0045,29.27364
352.5045,29.52213
353.0045,29.0301
353.5045,28.23752
354.0045,27.81619
354.5046,28.10901
355.0046,28.43199
355.5046,29.0982
356.0046,29.17004
356.5046,28.90821
357.0046,28.45378
357.5046,28.45851
358.0046,28.96057
358.5046,29.09088
359.0046,28.89379
359.5046,28.67497
360.0046,28.39124
360.5046,28.50311
361.0046,28.66932
361.5047,28.51206
362.0047,28.43575
362.5047,28.69044
363.0047,28.97834
363.5047,29.31417
364.0047,28.63795
364.5047,28.15172
365.0047,28.48159
365.5047,29.24267
366.0047,29.25181
366.5047,29.20383
367.0047,28.81652
367.5047,28.06018
368.0047,27.84372
368.5047,27.84946
369.0048,28.01772
369.5048,28.9864
370.0048,29.70863
370.5048,30.06919
371.0048,30.00543
371.5048,29.38549
372.0048,28.23841
372.5048,27.10536
373.0048,26.71281
373.5048,27.34336
374.0048,28.45768
374.5048,29.56705
375.0048,30.76437
375.5048,30.88209
376.0049,29.65049
376.5049,28.631
377.0049,27.62598
377.5049,26.95139
378.0049,27.1925
378.5049,27.89198
379.0049,29.0085
379.5049,29.724
380.0049,29.97718
380.5049,29.61446
381.0049,29.16864
381.5049,28.60746
382.0049,28.4365
382.5049,28.15818
383.0049,28.06427
383.5049,28.1221
384.0049,28.44032
384.5049,28.9639
385.0049,29.31067
385.505,29.55239
386.005,29.28378
386.505,28.58092
387.005,28.06566
387.505,28.27256
388.005,28.64704
388.505,28.97778
389.005,28.83023
389.505,28.93986
390.005,28.93951
390.505,28.3932
391.005,28.44123
391.505,28.63111
392.005,28.91647
392.5051,29.05074
393.0051,29.10733
393.5051,29.04948
394.0051,28.68565
394.5051,28.19939
395.0051,28.29335
395.5051,28.58186
396.0051,28.65228
396.5051,28.94218
397.0051,29.02862
397.5051,29.03717
398.0051,28.912
398.5051,28.61851
399.0051,28.60345
399.5052,28.6505
400.0052,28.79345
400.5052,29.11916
401.0052,29.02749
401.5052,28.55447
402.0052,28.20331
402.5052,28.39102
403.0052,28.51244
403.5052,28.82118
404.0052,29.18623
404.5052,29.00932
405.0052,29.10776
405.5052,29.00474
406.0052,28.66684
406.5052,28.72235
407.0052,28.53101
407.5052,28.46156
408.0052,28.24662
408.5052,28.41535
409.0053,29.02138
409.5053,29.44521
410.0053,29.41327
410.5053,29.0794
411.0053,28.56954
411.5053,28.1947
412.0053,28.39609
412.5053,28.38273
413.0053,28.40245
413.5053,28.92865
414.0053,29.31647
414.5053,29.63527
415.0053,28.71814
415.5053,28.11752
416.0054,28.64388
416.5054,29.21634
417.0054,29.27654
417.5054,28.94925
418.0054,28.41482
418.5054,27.80231
419.0054,28.02706
419.5054,28.54274
420.0054,29.32178
420.5054,29.83187
421.0054,29.52178
421.5054,28.68319
422.0054,28.31754
422.5054,28.45302
423.0054,28.88889
423.5055,29.07881
424.0055,28.85396
424.5055,28.51238
425.0055,28.21577
425.5055,28.54015
426.0055,28.92865
426.5055,28.93001
427.0055,28.94136
427.5055,28.86745
428.0055,28.96115
428.5055,29.12382
429.0055,29.06659
429.5055,28.81783
430.0055,28.63753
430.5056,28.43896
431.0056,28.40375
431.5056,28.06196
432.0056,28.5113
432.5056,29.63746
433.0056,29.87954
433.5056,29.29722
434.0056,28.46091
434.5056,28.05098
435.0056,28.21609
435.5056,28.7639
436.0056,28.86729
436.5056,28.90689
437.0056,29.01931
437.5056,29.18973
438.0056,29.06509
438.5056,28.57444
439.0056,28.56589
439.5056,28.98001
440.0057,28.9534
440.5057,28.81266
441.0057,28.66227
441.5057,28.45124
442.0057,28.20936
442.5057,28.52266
443.0057,28.97406
443.5057,29.05532
444.0057,29.09066
444.5057,29.56255
445.0057,29.60458
445.5057,29.12867
446.0057,28.48069
446.5057,27.98564
447.0058,27.82645
447.5058,28.1888
448.0058,28.50208
448.5058,29.18431
449.0058,29.4269
449.5058,29.4336
450.0058,29.32016
450.5058,29.11263
451.0058,28.84483
451.5058,28.50035
452.0058,28.50394
452.5058,28.39703
453.0058,28.4089
453.5058,28.36108
454.0059,28.53502
454.5059,29.56947
455.0059,30.06219
455.5059,29.37955
456.0059,28.57699
456.5059,28.15885
457.0059,27.81317
457.5059,28.44597
458.0059,28.93412
458.5059,29.2306
459.0059,29.36675
459.5059,29.35885
460.0059,28.82022
460.5059,28.67224
461.0059,28.88581
461.506,28.96627
462.006,28.83914
462.506,28.33293
463.006,28.26061
463.506,28.38384
464.006,28.56044
464.506,29.05792
465.006,29.64897
465.506,29.61466
466.006,29.19609
466.506,28.78042
467.006,28.61206
467.506,28.55565
468.006,28.60643
468.506,28.45896
469.006,28.26755
469.506,28.73439
470.006,29.42473
470.506,29.55408
471.0061,28.92962
471.5061,28.27362
472.0061,28.39224
472.5061,28.88911
473.0061,29.42394
473.5061,29.35184
474.0061,28.95043
474.5061,28.63055
475.0061,28.69788
475.5061,28.55974
476.0061,28.36752
476.5061,28.6944
477.0061,29.17371
477.5061,29.25121
478.0062,28.84694
478.5062,28.89896
479.0062,28.83512
479.5062,28.85668
480.0062,28.81005
480.5062,28.48518
481.0062,28.74419
481.5062,28.99232
482.0062,29.13616
482.5062,29.23076
483.0062,29.189
483.5062,28.78761
484.0062,28.2309
484.5062,28.20857
485.0063,28.76233
485.5063,29.19897
486.0063,29.04066
486.5063,28.78775
487.0063,28.75699
487.5063,29.01461
488.0063,29.29156
488.5063,29.27871
489.0063,28.91542
489.5063,28.56142
490.0063,28.28003
490.5063,28.82385
491.0063,29.33397
491.5063,28.95105
492.0063,28.27287
492.5063,28.33565
493.0063,28.61773
493.5063,29.00312
494.0063,29.38542
494.5064,29.80035
495.0064,29.69369
495.5064,29.12218
496.0064,28.61313
496.5064,28.24907
497.0064,27.72603
497.5064,27.75978
498.0064,28.68814
498.5064,29.6004
499.0064,29.83135
499.5064,29.61192
500.0064,28.9059
500.5064,28.76581
501.0064,28.8588
501.5065,28.70835
502.0065,28.46176
502.5065,28.50814
503.0065,28.72396
503.5065,29.22084
504.0065,29.16963
504.5065,29.27662
505.0065,28.72934
505.5065,28.23348
506.0065,28.60062
506.5065,29.14403
507.0065,29.34833
507.5065,29.19796
508.0065,29.01522
508.5066,28.66852
509.0066,28.36099
509.5066,28.67758
510.0066,29.04693
510.5066,29.06341
511.0066,29.35569
511.5066,29.29328
512.0066,28.73525
